年月,數值,預估(F)
2023/06,"22,243",P
2023/03,"19,087",R
2022/12,"23,415",R
2022/09,"22,124",R
2022/06,"24,355",R
2022/03,"31,411",R
2021/12,"32,435",R
2021/09,"28,621",R
2021/06,"30,205",R
2021/03,"26,715",R
2020/12,"28,437",R
2020/09,"30,070",R
2020/06,"21,551",R
2020/03,"17,196",R
2019/12,"17,531",R
2019/09,"13,713",R
2019/06,"17,758",R
2019/03,"17,427",R
2018/12,"20,544",R
2018/09,"10,856",R
2018/06,"17,510",R
2018/03,"21,799",R
2017/12,"27,910",R
2017/09,"17,912",R
2017/06,"17,549",R
2017/03,"19,717",R
2016/12,"19,640",R
2016/09,"13,565",R
2016/06,"17,752",R
2016/03,"20,307",R
2015/12,"19,210",R
2015/09,"15,552",R
2015/06,"16,137",R
2015/03,"21,831",R
2014/12,"18,332",R
2014/09,"13,951",R
2014/06,"15,730",R
2014/03,"12,594",R
2013/12,"15,703",R
